Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
GPES Bashenkol,OCGT,OCGT,CHP,KZ,3,,,0,0,0,2015,,,2165,50.341297,57.133198,,,
Erementau WPP-1,Wind,Onshore,PP,KZ,45,,,0,0,0,2015,,,2165,51.596126,73.079606,,,
Kapchagay SPP,Solar,Pv,PP,KZ,2,,,0,0,0,2015,,,2165,43.92276,77.0981,,,
Korday WPP,Wind,Onshore,PP,KZ,21,,,0,0,0,2015,,,2165,43.33833,74.96889,,,
Burnoye SPP,Solar,Pv,PP,KZ,100,,,0,0,0,2015,,,2165,42.71489,70.815725,,,
Otar SPP,Solar,Pv,PP,KZ,0.5,,,0,0,0,2015,,,2165,43.1781,70.4669,,,
SKZ-U SPP,Solar,Pv,PP,KZ,0.42,,,0,0,0,2015,,,2165,44.42,66.794,,,
SPP Ochistnoi,Solar,Pv,PP,KZ,0.95,,,0,0,0,2015,,,2165,42.510865,70.284764,,,
 SPP Aqbai,Solar,Pv,PP,KZ,0.95,,,0,0,0,2015,,,2165,42.510865,70.284764,,,
WPP-1 KT Zenchenko and K ,Wind,Onshore,PP,KZ,3.5,,,0,0,0,2015,,,2165,54.897759,69.187306,,,
WPP-2 KT Zenchenko and K ,Wind,Onshore,PP,KZ,2,,,0,0,0,2015,,,2165,54.897759,69.187306,,,
Korinskaya HPP,Hydro,Reservoir,PP,KZ,28.5,,,0,0,0,2017,,,2167,44.869806,78.794583,,,
Ulbinskaya HPP,Hydro,Reservoir,PP,KZ,18.4,,,0,0,0,1940,,,2090,50.2625,83.32556,,,
Turgusunskaya HPP,Hydro,Reservoir,PP,KZ,24.9,,,0,0,0,2021,,,2171,49.949819,84.049938,,,
Lepsi HPP-2,Hydro,Reservoir,PP,KZ,16.99,,,0,0,0,2016,,,2166,45.694454,80.297153,,,
Leninogorsk HPP cascade,Hydro,Reservoir,PP,KZ,11.8,,,0,0,0,1949,,,2099,50.345667,83.468667,,,
Issykskaya HPP-1,Hydro,Reservoir,PP,KZ,5,,,0,0,0,2019,,,2169,43.2408,76.8507,,,
Verkhne-Baskanskaya HPP-1,Hydro,Run-Of-River,PP,KZ,4.2,,,0,0,0,2015,,,2165,45.345364,80.224678,,,
Keles HPP cascade,Hydro,Run-Of-River,PP,KZ,3.3,,,0,0,0,2001,,,2151,41.308355,68.93809,,,
Talgarskaya HPP,Hydro,Run-Of-River,PP,KZ,3.2,,,0,0,0,1959,,,2109,43.269722,77.213611,,,
Mankent HPP,Hydro,Run-Of-River,PP,KZ,2.5,,,0,0,0,2017,,,2167,42.412612,69.817589,,,
Sergeevskaya HPP,Hydro,Run-Of-River,PP,KZ,2.46,,,0,0,0,1968,,,2118,53.872545,67.433906,,,
Sarkand HPP,Hydro,Run-Of-River,PP,KZ,2.4,,,0,0,0,2013,,,2163,45.388739,79.918193,,,
Khorgos HPP,Hydro,Run-Of-River,PP,KZ,2,,,0,0,0,2014,,,2164,44.218338,80.390446,,,
Uspenskaya HPP,Hydro,Run-Of-River,PP,KZ,1.92,,,0,0,0,1960,,,2110,45.78913,80.99036,,,
Kalamkas GCHP,OCGT,OCGT,CHP,KZ,90,,,0,0,0,2014,,,2164,45.33808,51.914448,,,
Baikonur CHP,CCGT,CCGT,CHP,KZ,48,,,0,0,0,1958,,,2108,45.62833,63.30472,,,
SKZ-U PP,OCGT,OCGT,PP,KZ,19,,,0,0,0,2007,,,2157,43.81938,67.300827,,,
Nura SPP,Solar,Pv,PP,KZ,100,,,0,0,0,2020,,,2170,50.794794,71.453023,,,
Saran SPP,Solar,Pv,PP,KZ,100,,,0,0,0,2019,,,2169,49.812417,72.874139,,,
Isatai WPP,Wind,Onshore,PP,KZ,53,,,0,0,0,2018,,,2168,46.972434,50.573115,,,
Akadyr SPP,Solar,Pv,PP,KZ,50,,,0,0,0,2019,,,2169,48.287138,72.909167,,,
Makat WPP,Wind,Onshore,PP,KZ,48,,,0,0,0,2022,,,2172,47.571336,53.086407,,,
Gulshat SPP,Solar,Pv,PP,KZ,40,,,0,0,0,2019,,,2169,46.637437,74.323293,,,
Kengir SPP,Solar,Pv,PP,KZ,10,,,0,0,0,2019,,,2169,47.862317,67.623516,,,
Nurgisa SPP,Solar,Pv,PP,KZ,100,,,0,0,0,2019,,,2169,43.96689,77.113784,,,
Zhanatas WPP,Wind,Onshore,PP,KZ,100,,,0,0,0,2021,,,2171,43.512541,69.645164,,,
Kaskelen SPP,Solar,Pv,PP,KZ,50,,,0,0,0,2020,,,2170,43.621375,76.973217,,,
Zhangiz Solar SPP,Solar,Pv,PP,KZ,30,,,0,0,0,2019,,,2169,49.225172,81.188053,,,
Badamsha WPP,Wind,Onshore,PP,KZ,48,,,0,0,0,2018,,,2168,50.490388,58.262043,,,
Ybyrai WPP,Wind,Onshore,PP,KZ,50,,,0,0,0,2021,,,2171,53.27606,63.81024,,,
Kentau SPP,Solar,Pv,PP,KZ,50,,,0,0,0,2021,,,2171,43.471951,68.529604,,,
Shymkent SPP,Solar,Pv,PP,KZ,20,,,0,0,0,2022,,,2172,42.306531,69.355402,,,
Zhanakorgan SPP,Solar,Pv,PP,KZ,10,,,0,0,0,2021,,,2171,43.875475,67.36086,,,
Nomad SPP,Solar,Pv,PP,KZ,28,,,0,0,0,2019,,,2169,45.095792,64.690586,,,
Shoktas SPP,Solar,Pv,PP,KZ,50,,,0,0,0,2021,,,2171,43.440532,68.52558,,,
Kushata SPP,Solar,Pv,PP,KZ,10,,,0,0,0,2021,,,2171,43.440532,68.52558,,,
Baikonur SPP,Solar,Pv,PP,KZ,50,,,0,0,0,2019,,,2169,44.726176,65.894033,,,
Zhangiztobe WPP,Wind,Onshore,PP,KZ,30,,,0,0,0,2022,,,2172,49.225172,81.188053,,,
Krasny Yar WPP,Wind,Onshore,PP,KZ,3.5,,,0,0,0,2020,,,2170,53.3075,69.2352,,,
Novonikolsk WPP,Wind,Onshore,PP,KZ,1.5,,,0,0,0,2020,,,2170,54.5262,68.6668,,,
Nurly WPP,Wind,Onshore,PP,KZ,5,,,0,0,0,2020,,,2170,43.6461,78.5329,,,
Shevchenko WPP,Wind,Onshore,PP,KZ,43.2,,,0,0,0,2020,,,2170,44.45896,50.31406,,,
Arshaly WPP,Wind,Onshore,PP,KZ,45,,,0,0,0,2020,,,2170,51.26002,71.861851,,,
"Abai WPP 1,2",Wind,Onshore,PP,KZ,150,,,0,0,0,2022,,,2172,46.913043,79.753301,,,
Zadarya-1,Solar,Pv,PP,KZ,14,,,0,0,0,2019,,,2169,42.408201,68.763883,,,
Zadarya-2,Solar,Pv,PP,KZ,5,,,0,0,0,2022,,,2172,42.408201,68.763883,,,
Zhanaozen PP,OCGT,OCGT,PP,KZ,30.4,,,0,0,0,2021,,,2171,43.363643,52.806916,,,
